# NPT_VS_PR TimeStep=2.067055e+01 MassBarostat=1.000000e+00
#  1:iter 2:L  3:Temp    4:Stress   5:Utot   6:Ukc    7:Ubaro  8:Wbaro    9:Hamilton
   1 10.023185 3000.000000 +0.001013 -32.105128 0.114004 0.003440 0.100000 -31.887683
   2 10.068639 2970.907336 +0.000971 -32.111742 0.112899 0.013222 0.100697 -31.884924
   3 10.134562 2914.531413 +0.000888 -32.123625 0.110756 0.027811 0.102073 -31.882985
   4 10.218733 2835.931464 +0.000787 -32.139080 0.107769 0.045339 0.104091 -31.881880
   5 10.318990 2739.246645 +0.000690 -32.156581 0.104095 0.064325 0.106707 -31.881455
   6 10.432642 2626.345353 +0.000573 -32.174442 0.099805 0.082661 0.109878 -31.882098
   7 10.556974 2505.375069 +0.000458 -32.190882 0.095208 0.098927 0.113549 -31.883199
   8 10.689125 2378.067231 +0.000341 -32.204829 0.090370 0.111760 0.117657 -31.885042
   9 10.825927 2248.993084 +0.000221 -32.214775 0.085465 0.119767 0.122131 -31.887412
  10 10.964613 2121.404168 +0.000111 -32.219918 0.080616 0.123086 0.126881 -31.889336
  11 11.102312 2419.841291 +0.000012 -32.220077 0.091957 0.121343 0.131820 -31.874957
  12 11.238983 2295.723455 +0.000037 -32.214987 0.087241 0.119535 0.136849 -31.871363
  13 11.383736 2240.645392 +0.000467 -32.224480 0.085148 0.134093 0.141965 -31.863274
  14 11.534589 2185.702246 +0.000396 -32.242360 0.083060 0.145632 0.147521 -31.866147
  15 11.689127 2128.260609 +0.000308 -32.255513 0.080877 0.152834 0.153464 -31.868339
  16 11.844855 2069.159859 +0.000220 -32.264125 0.078631 0.155195 0.159715 -31.870584
  17 11.999976 2010.348147 +0.000160 -32.268888 0.076396 0.153988 0.166184 -31.872320
  18 12.152579 1952.649684 +0.000097 -32.270016 0.074203 0.149030 0.172799 -31.873984
  19 12.301278 1896.539021 +0.000055 -32.268239 0.072071 0.141503 0.179476 -31.875189
  20 12.445107 1842.641874 +0.000018 -32.264100 0.070023 0.132385 0.186145 -31.875547
  21 12.582968 2354.541439 -0.000013 -32.258161 0.089476 0.121626 0.192751 -31.854309
  22 12.713886 2291.247143 -0.000039 -32.250725 0.087071 0.109685 0.199227 -31.854742
  23 12.837092 2231.110220 -0.000058 -32.242410 0.084785 0.097143 0.205511 -31.854971
  24 12.951824 2174.015231 -0.000077 -32.233450 0.082616 0.084239 0.211544 -31.855052
  25 13.057482 2120.771412 -0.000090 -32.224198 0.080592 0.071442 0.217267 -31.854897
  26 13.153544 2070.795394 -0.000102 -32.214996 0.078693 0.059054 0.222627 -31.854621
  27 13.239561 2024.096243 -0.000111 -32.206058 0.076918 0.047350 0.227577 -31.854213
  28 13.315162 1980.836773 -0.000118 -32.197601 0.075275 0.036576 0.232071 -31.853679
  29 13.380032 1940.783062 -0.000124 -32.189819 0.073752 0.026930 0.236069 -31.853068
  30 13.434152 1903.891786 -0.000129 -32.182840 0.072351 0.018744 0.239536 -31.852209
  31 13.477314 2410.826272 -0.000133 -32.176664 0.091615 0.011922 0.242455 -31.830672
  32 13.509372 2373.291673 -0.000135 -32.171475 0.090188 0.006577 0.244799 -31.829911
  33 13.530227 2339.105399 -0.000137 -32.167346 0.088889 0.002783 0.246550 -31.829123
  34 13.539830 2308.143271 -0.000138 -32.164313 0.087713 0.000590 0.247694 -31.828317
  35 13.538174 2280.288748 -0.000138 -32.162397 0.086654 0.000018 0.248222 -31.827503
  36 13.525292 2255.269224 -0.000137 -32.161593 0.085703 0.001062 0.248131 -31.826697
  37 13.501254 2232.902516 -0.000136 -32.161881 0.084853 0.003698 0.247423 -31.825906
